Количество звёзд,Текст рецензии,Количество слов
3,"3Ох, какая же хорошая маньхуа. Вот правда, у всех из мосспака какой-то нереальный талант по части рисунка и сторителлинга, и Брауни не исключение.Да, по сути история довольно простая : обычная жизнь двух школьников и их друзей и семьи. Но то, как она исполнена, именно это и подкупает. Очень душевно получилось. Особенно если читать доп. инфу и экстры, то понимаешь, что ситуации, которые происходят с Нань Хао и Шан Фэном взяты из жизни самого Брауни. А сами Нань Хао и Шан Фэн списаны с Брауни и его школьного друга. И вот именно эта душевность и реальность меня и покорили. А уж экстра про отца Брауни довела меня до слез.Определённо мастхэв для всех любителей маньхуа и манхв. А так же для тех, кто только хочет начать знакомиться с этими жанрами.",124
3,"2.5Давайте заглянем в закулисье балета, даже если мы найдем там не самые приятные моменты.И так, это искусство может убивать. И наш храбрый сыщик Ленуар начнет свое дело. И знаете, что, пожалуй, на моем веку это первая книга, когда я даже не следила за ходом событий, чтобы раскрыть убийцу, а наслаждалась самим повествованием, Парижем и балетной труппой.Это грандиозно и феерично, это восхитительно и тонко. От невероятного слога автора до глубокого погружения в мир балета и всего того, что его составляет.Эти Па, костюмы, манера речи абсолютно все вызывает у меня мурашки по телу.Не обошлось без стекла, мое сердечко болит, но и мотив мне тоже ясен. Дурной и не без последствий, но такой тщеславный и гниющий.Мне нужна была эта книга как воздух, и я с удовольствием дышала.Кстати, советую при прочтении включить классику для антуража. Эффект гарантирован!",126
3,"3Я была в таком предвкушении от книги, но действительность не оправдала моих ожиданий. Помню читала очень давно одну книгу и там был Один и прочие. Вот после нее-то я и заболела Скандинавскими мифами. Но здесь все как-то сжато, безжизненно, как в учебнике. Скучно. Одни только иллюстрации спасают ситуацию. Но даже из-за них, я бы не стала ее покупать в свою библиотеку.",58
3,"3Это моя первая книга по антропологии. Скорее всего. По крайней мере это моя первая книга к которой я подходила как к книге по антропологии. Антропология, к слову, это наука, которая занимается изучением человека. В частности эта книга изучает бредовую работу и то, как человек с ней взаимодействует. Во время прочтение невольно задумаешься, а не является ли твоя работа бессмысленным трудом на которое ты впустую тратишь лучшие годы своей жизни. К счастью, я с таким лично не сталкивалась. Мне повезло любить свою работу, какой бы бредовой она не казалась окружающим. Автор книги развернул полномасштабное исследование проблемы. Дал четкое понятие какую работу можно считать “бредовой”. Поразмышлял над темой, почему с годами “бредовых вакансий” все больше, а также подробно остановился на вреде, который такая работа наносит человеку. А вред немаленький. Люди с бредовой работой чаще всего страдают депрессиями, головными болями и нежеланием жить. А также создал квалификацию среди “бредовой работы”. Мне особенно запомнились “костыльщики” и “галочники” потому что в разный период времени я была и тем, и другим. Но бредом это не считала, потому что при всей бесполезности я свой труд считала важным. Как говорится: “если звезды зажигают — значит — это кому-нибудь нужно?”. Может быть я живу в выдуманном мире, но я ратую за то, чтобы работа была любимой. На работе мы проводим большую часть нашей жизни. И неприятно, если большая часть жизни тебе в пытку. А если ты любишь получать деньги за то, что делаешь вид что работаешь, то пусть так. Мне нравится, что автор в первую очередь дает человеку право решать бредовая его работа или нет. Потому что не важно какая она, если человек на ней счастлив. Если оценивать книгу по полезности лично для меня, то от нее больше пользы, чем вреда. Но вынесла ли я из нее какие-то уроки? Нет. Мне было немного сложно перенести все это на личный опыт. И снова обращаясь к Маяковскому Книгу переворошив,намотай себе на ус —все работы хороши,выбирай на вкус!",313
3,"3Я в замешательстве. Это явно книга не для детей. Я бы сказала ,15 плюс точно.Очень много нелепых ситуаций,как будто написано второпях. Наша героиня может верить в богиню луны и летает над городом, но в то, что Фейри  подменяют детей , не верит. Неужели волшебство бывает взаимозаменяемым? Как по мне , либо веришь, либо нет.Еще один очень странный момент.  Ее похитил маньяк.  На следующей день она едет искать маньяка. И хочет с ним разобраться. Школьница едет на край города ,что бы приструнить маньяка, серьезно? Финал был сумбурный, взрывной, как в экшен фильме. Не знаю.  Как по мне ,книга вышла слишком фантастичной , и не особо понятно ,на какой возрастной ориентир она нацелена.Книга прочитана в рамках игры Killwish",110
3,"3Очень медленно я начинала читать эту книгу, было все скучно, не интересно, герои не цепляли. Если бы не долгая прогулка, то я бы наверно бросила читать уже в самом начале. Продолжала читать через силу. Где то к середине книги потихоньку начало затягивать...Читаешь и вроде как то все предсказуемо, преступник вроде такой хитрый, все продумывает наперёд и вдруг так про***вается...Полиция наоборот, обычно в книгах, фильмах, они такие умные, все что то находят,  а тут вообще ничего не могут найти. К концу книги всё конечно же закручивается, есть немножко непредсказуемости, но и как бы всё просто. Заканчивается все хорошо, все становится понятно что к чему, вроде вопросов не остаётся.Очень много психологии, я особо никогда ею не интересовалась . Всё закончилось, продолжение читать сильного прямо желания нет. Автор тоже особо себя ничем не отличил. Интересно, но на раз.",136
3,"3Оговорюсь сразу, что разделение книги на две части – это исключительно мои ощущения. В самом произведении ничего такого нет, просто главы, как и везде. Итак, начало книги лично для меня прошло под названием ""Нетакуся и нетакусь"". Я недолюбливаю истории, где главная героиня вся такая ""не такая"" - единственная разумная и хорошая, а все остальные девушки - сплошь дуры, подлюки, распутницы, ревнивицы и т. д. Здесь же писательница собрала комбо, сделав любимым Эмелис идеального ""нетакуся"". В придачу к женскому ""серпентарию"" автор добавила мужской ""козлятник"". Парни в начале истории, разумеется, кроме Кирстена, похотливые самцы, готовые на занятии в присутствии толпы однокурсников и преподавателя почти поиметь девушку против еë воли. Ну а если парень не озабоченный (исключительно потому, что у него есть девушка), значит он либо тупица, либо грубиян, либо ещë какая-нибудь ""жаба"". И только один высокородный аристократ Кир - благороден, честен, нежен и вообще полон всех возможных и невозможных достоинств... От белизны пальто главных героев меня очень быстро начало подташнивать, но бросить чтение было нельзя.В условной второй части ситуация с второстепенными персонажами выправилась. У героини появилась подруга, а упор на похотливость мужского пола в целом существенно уменьшился. Зато Кирстен по мере появления и усиления к нему чувств у Эмелис стал проявлять себя как абъюзер. Даже сама писательница устами героини пару раз называет его ""тираном"", хотя в еë глазах это явно не является недостатком. Меня же постепенное продавливание границ главной героини совсем не порадовало. И ещë больше напрягло то, что запреты, манипуляции эмоциями и наплевательство Кира на чëткое ""Нет"" от Эмелис представляются в книге не только как что-то допустимое, но даже милое и желательное. В таком случае у меня возник вопрос: А в чëм были неправы ухажëры и ""подружки"" героини из начала книги? Они действовали точно так же, как и любимый, ну разве что чуть грубее и прямолинейнее, чем он. То есть, получается, надо было просто обмануть героиню, предложив ""притвориться парой ради общего блага"", а только потом, втëршись к ней в доверие, начинать проламывать еë границы и превращать успешную и талантливую девушку в глупую куклу, заинтересованную только в удовлетворении желаний и капризов любимого мужчины?С сюжетом в книге тоже что-то странное происходит. Внезапно под конец произведения всплывает никак ранее не обозначенная второстепенная любовная линия, цель которой исключительно ""страшная мстя"" главной героине... У меня только один вопрос: ""Нафига, а главное зачем?"" Если нужно было показать невероятные способности Эмелис в магии, так можно было придумать другую причину для нападения. Самое простое и буквально напрашивающееся – события, происходящие на родине девушки. Но нет, нужно было на ровном месте выдумать нечто, для чего вообще никаких предпосылок в книге не было. Подозреваю, что это сделано исключительно для того, чтобы было о чëм писать продолжение.К речи Анны Гавриловой у меня тоже есть вопросы. Во-первых, часто ли в жизни люди называют близких по цвету глаз? К тому, что любимый парень в половине случаев обозначен как ""синеглазый"", я придираться не буду - влюблëнные как только друг друга ласково не называют. Но говорить про подругу ""зеленоглазая""... Серьëзно? Сюда же добавлю странное выражение ""синеглазый взгляд"" – это у глаз есть взгляд, а не наоборот.Во-вторых, утомляют бесконечные повторы описаний одними и теми же словами: ""обвил рукой мою талию"", ""потеряла себя"", ""мир поплыл"", ""колени ослабели""... До Сильвии Лайм по бедности речи, к счастью, Анне Гавриловой далеко, но всë-таки стоит поработать над разнообразием. И у меня теперь даже есть рекомендация, у кого среди писательниц ромфанта можно поучиться – Татьяна Гуркало в этом отношении чудо как хороша.И в-третьих, лично у меня вызвало недоумение постоянное использование слова ""студиозусы"". Чем автору не угодили обычные ""студенты"" я так и не поняла. Ничего против ""студиозусов"" не имею, но мне такая форма слова кажется шутливо-ироничной, не предназначенной для использования на постоянно основе. Особенно в книге, где юмора практически нет, сплошь романтика и немножко драмы. Но это уже мелкая придирка, которой я бы значения не придала, если бы не другие вопросы к языку Анны.А ещë я дошла до того момента, когда манера чтения Ведьмы стала меня утомлять. Поначалу я более-менее спокойно воспринимала еë попытки менять голоса, мне не нравилось, но в целом было терпимо. Сейчас же, когда мой список девушек, озвучивающих аудиокниги, стал значительно больше, от неестественных писков второстепенных персонажек и псевдо-низких голосов парней, я быстро устаю. Так что книгу слушала больше недели, что для ромфанта очень много. Особенно с учëтом того, что почти всю неделю провела в разъездах и слушала книг больше обычного. Жаль, что Ведьма выбрала такой стиль чтения, однако у неë много поклонниц, и нельзя сказать, что она не права. Так что это весьма субъективное моë впечатление.В итоге книга оказалась совсем ""не моя"". Посоветовать еë могу тем, кто любит ""властных героев"" и, быть может, ""идеальные пары"". Хотя тут всë-таки не совсем этот троп - отношения героев не возникают внезапно и без предпосылок. Но и развития у них толком нет. У Эмелис и Кира почти всегда всë прекрасно, и лишь внешние обстоятельства могут негативно влиять на их идиллию.Прочитано в рамках:11 сезона Академии РиФБукливинг и Семейка Аддамс в клубе ""Белая сова"".",780
3,"3Книга оставила у меня неоднозначное впечатление. Первая половина погружает у стоицизм, разобраны все принципы, дательно, с примерами, даны когнитивные модели. Вторая половина посвящена принципам эффективности и привычкам, стандартные методы типа приоритетов, тайм-менеджмента, привычек. По сути то, что можно было надергать из любой другой книги по «самопомощи», здесь же все это заправлено специей стоицизма. Заключительный блок в стиле «Стань лучшей версией себя», главы и описание аналогично блоку про самоорганизацию: классический аргумент с примером из стоицизма.  Написано сухим, для меня языком, много «должны, надо» и аргументов за стоицизм без разбора почему это может работать. Книга скорее «поповсовая» чем философская. До изучения стоицизма не рекомендую, но может стать  еще одной книгой по самопомощи в вашем книжном шкафу.",113
3,"3Ну конечно я не смогла остановиться на первой книге, ведь там всё закончилось на самом интересном месте. Но вторая часть подкачала.Где мои полёты?Где мой красавец-пилот?Ладно, если опустить отсутствие самолетов, хорошо почти отсутствие, то сюжет динамичный. Правда хорошей семейной идиллии тут не найти. Изменяют все.Сильная героиня, которая вообще не была похожа на ту, в первой части. Герой красавчик, но зюзя, что-то его подразмазало...А ещё мне не дали предателя, всю развязку автор спустил в унитаз.Но сказка получилась красивая. Прекрасный счастливый конец.Оценка 3 из 5, я ждала злодея, а его зажали.",85
3,"3Ну конечно я не смогла остановиться на первой книге, ведь там всё закончилось на самом интересном месте. Но вторая часть подкачала.Где мои полёты?Где мой красавец-пилот?Ладно, если опустить отсутствие самолетов, хорошо почти отсутствие, то сюжет динамичный. Правда хорошей семейной идиллии тут не найти. Изменяют все.Сильная героиня, которая вообще не была похожа на ту, в первой части. Герой красавчик, но зюзя, что-то его подразмазало...А ещё мне не дали предателя, всю развязку автор спустил в унитаз.Но сказка получилась красивая. Прекрасный счастливый конец.Оценка 3 из 5, я ждала злодея, а его зажали.",85
3,"3С первых страниц история очаровала меня своим восточным колоритом. В этом плане она очень сильно отличается от того, что я читала до этого. Отличия здесь и в месте действия - сначала это Каир, а затем чудесный Дэвабад, где живут джинны, и в вымышленных существах, среди которых встречаются дэвы, джинны, пери, водные элементами. Так же в книге было много новых слов. Поначалу было сложно не запутаться кто такие нахиды, шафиты, ифриты.Ещё мне здесь очень понравились герои. Сначала большую симпатию у меня вызвала Нари. Хотелось узнать о ней побольше, о том кто она такая, и откуда у нее такой редкий дар.Ну а потом меня пленил Дара, дэв, которого случайно вызвала Нари. Он зачаровывал меня своей загадочностью и трагической судьбой. Да и наблюдать за тем, как развивались их с Нари отношения было очень интересно.Понравился мне и авторский язык. Все описания здесь яркие, сочные, очень красочные.Теперь я с огромным нетерпением жду новой встречи с полюбившимися героями. Тем более, что конец первой части показался мне очень интригующим.",157
3,"3Книга довольна интересная, эмоциональная, заставляет подумать, порассуждать на разные темы.Вначале, показалась, немного простоватой история – преступники известны, замысел понятен, но чем больше дней проходило после прочтения, тем чаще думала о книге, даже больше о героях, характерах. Значит, история не прошла мимо меня, а всё же зацепила. Повествование линейное, главы небольшие, обозначенные датами, как милицейская сводка. Язык автора вроде бы наивен, суховат, но в тоже время через действия, разговоры показывает характеры героев, а когда добавляются воспоминания, размышления героев, сюжет стал подкидывать необычные повороты, то читать стало увлекательно, и роман прочитался очень быстро.В основу романа легли реальные события, которые произошли в СССР в семидесятых годах. Ограбление века – украдено 1,5 миллиона рублей из Госбанка Еревана. Это редчайший случай, т.к. законы в то время были суровы и даже за кражу 10 000 рублей – смертная казнь. Об этом преступление я ничего не слышала, просто не очень эта тема интересует, поэтому финал был для меня трогательным, интересно было знать мотивы людей, решившиеся на такое преступление. Но вот здесь большой минус книге, мне не хватило мотивации героев,  более детального прописанного психологизма, особенно у Феликса. Его можно посчитать положительным героем: честный, любящий свою семью (хотя необычно), пытается заботиться  о детях, которому просто не везёт. Но для меня в  Феликсе  раскрывалось всё больше отрицательных черт при дальнейшем чтение и его поведение всё больше удивляло. Во-первых, его отношение к работе (работает дворником и страдает, что вот не хватает денег, а устроится ещё на подработку или пойти на завод), очень странно, что не даёт жене работать, хотя он уже нарушал закон, который был в то время, вернее его жена (закон о тунеядстве). Его объяснение, что дети не будут видеть мать, вообще странно. Если тебе дороги дети, то всегда найдётся время. Во-вторых, автор хочет убедить в его «благородстве» помочь брату, но это полная безответственность по отношению к своей семье, да ещё какая-то глупость, как будто не понимал, какие последствия его ждут. В-третьих, его ревность только добавила негатива к его характеру (ударить жену), т.е. настолько не доверять своей жене. Ну а Николай сразу был для меня отрицательным героем: ленивый, наглый, азартный, легкомысленный, высокое самомнение, а по сути никто, хитрый, скользкий тип, подставить брата ( у которого дети) ради денег. Вообще такое преклонение к деньгам в людях меня отталкивает. Но больше всего меня поразило его предательство к матери, к больному отцу.  Взять и бросить мать, потому что ему надоело, как кричит отец от боли – это цинично и как раз хорошо показана, его слабохарактерность и самовлюблённость, боязнь трудностей.  Поэтому не сильно прониклась к главным героям, хотя я согласна, наказание жестокое для содеянного братьями, но они знали, на что шли. Больше всего мне было жаль Любу, которая искренне любила балагура Николая и не поняла его сущность ( его письмо меня не тронуло, он обманывал сам себя и хотел, чтобы Люба жалела его); и конечно Машу и девочек, которым теперь придётся расти без отца, хоть и с деньгами.Лучше читать роман, не зная истории о преступлении, тогда некоторые повороты будут неожиданными, поэтому и книга только интересна на одно прочтение.",478
3,"3А я не буду ничего писать. Просто Несколько раз по пять звезд поставлю, и всё.",15
3,"3«Мерзкая семёрка» – относительно новый роман, изданный в России в 2023 году. Название наводит на мысли о некоторых небезызвестных голливудских фильмах.Сюжет стартует резко с самого начала. Вот-вот должна состояться финальная битва – армия повелительницы демонов Черной Герран должна разделаться с неприятелями, спрятавшимися за стенами последнего оплота. Победа кажется уже неоспоримой, когда устрашающая предводительница просто исчезает. Ее военачальники сразу же начинают грызню из-за власти, а армия терпит сокрушительное поражение. Проходят десятилетия, и все большее влияние в мире набирает Империя Света. Ее армии победоносно шествуют по материку, искореняя все «темные» народы с их верованиями в древних богов. Лишь горстка детей из каждого побежденного города остаётся в живых и обращается в веру в Светлейшую. Рыцари и инквизиторы Света наделены мощнейшей магией, благодаря которой практически без усилий подавляют любое сопротивление. Следующим пунктом в плане завоевания должен идти небольшой городок Тарнбрук, где обосновалась постаревшая Герран со своей дочерью. Однако даже такой искусный демонолог, как Черная Герран, не сможет в одиночку остановить Империю Света, возглавляемую любимцем богини – Принцем Соколом. Могущественная военачальница решает собрать свою бывшую команду.Первая часть романа посвящена как раз сбору старой гвардии. Каких-либо важных событий здесь не происходит. Вместе с героями мы путешествуем по миру, знакомимся с его обитателями. Кому-то подобное может показаться скучным, но мне было интересно само знакомство с бывшими командирами, ведь каждый из них по-своему яркий и необычный. Их объединяет одно общее качество – ненависть к Герран, т.к. из-за её предательства каждый потерял очень многое. Однако Империя Света представляет огромную угрозу, и из двух зол они выбирают более знакомое. К тому же для повторной вербовки Герран припасла для каждого свой козырь. Возглавляет поиски некромантка Мейвен. Сорок лет назад, после предательства Герран, ее нелюбимый брат исчез, прихватив с собой любимую сестру. Фанатичные поиски ни к чему не привели, и теперь только повелительница демонов может наконец помочь воссоединению с сестрой. Лоример Фелле – лорд-вампир, способный в бою превращаться в ужасного непобедимого монстра. Его земли были завоеваны Империей Света, и он жаждет мести. Этот ужасный монстр является, на мой взгляд, одним из самых харизматичных персонажей. Лоример способен мгновенно восстанавливаться после самых страшных ран, на чем строится изрядная доля юмора в романе. Тиарнах – бывший бог войны из клана Кахалгилроев. Его народ был полностью уничтожен Империей Света, после чего бог потерял большую часть своей божественной силы. Ведь, как известно, сила божества в его почитателях. За сорок лет из-за чувства вины и потери он спился и растерял остатки своего величия. Тем не менее и сейчас он является одним из опытнейших бойцов в мире. Его постоянные рефлексии по ушедшей силе и черный юмор делают его моим вторым любимчиком из команды. Верена Авилданская – королева пиратов, управляющая всеми флибустьерами. В отличие от прочих она обычная пожилая женщина, обладающая тем не менее отличными лидерскими качествами, стальной волей и стратегическим талантом. К тому же ей подчиняется самый сильный флот в мире. Амогг Хадакк – вождь племени орков. Стоит уточнить, что больше всего местные орки похожи на орков из Варкрафта. Эти зеленокожие гиганты с огромными мышцами живут только войной. Чем старше орк, тем он больше и сильнее, и их предводительница сильнейшая из всех. Амогг соглашается присоединиться к Черной Герран, потому что так у нее появляется шанс победить Принца Сокола, а значит стать самым сильным воином в мире. К тому же у нее есть личные счёты к Тиарнаху. Последний участник команды – безумный алхимик Джерак Хайден. Его бесчеловечные эксперименты опасны для союзников точно также, как и для врагов. Однако все же выгоднее иметь подобного человека в друзьях. Он находится в плену у расы мурвов в гигантском Муравейнике, и нашим героям придется немало потрудиться, чтобы его освободить. Вот такая необычная команда получается у Черной Герран. Они нисколько не доверяют друг другу, но связаны единой целью. Идея противопоставления зла ещё большему злу не нова, но подаётся автором в довольно интересном ключе. Империя Света представляет собой добро, но выбранные методы делают её страшнее всех остальных монстров вместе взятых. Геноциды, устраиваемые на завоёванных территориях, не могут быть оправданы никакими благими намерениями.Остальная часть романа посвящена подготовке к сражению и самой главной битве с Империей Света. Тут будет один неожиданный сюжетный поворот, который довольно легко угадывается опытным читателем. Благодаря неоднозначности и общей мрачности происходящего роман и относится к жанру тёмного фэнтези, отличающемуся популярной ныне серой моралью.К плюсам романа я бы отнес яркий динамичный мир. Да, местами ему не хватает глубины, которой может похвастаться, например, «Малазанская книга павших» Стивена Эриксона. Однако и у Кэмерона Джонстона немало интересных деталей. Например, раса орков, вампиры, необычная магия и мир демонов, который нередко взаимодействует с миром смертных. Хотелось бы также отметить эпичные битвы, в которых множество динамики и «спецэффектов».К минусам я бы отнес то, что не все персонажи одинаково интересны. Например, сама Черная Герран до последних глав практически никак не раскрывается. То же самое можно сказать и о Верене с Амогг. При таком обилии персонажей хотелось бы, чтобы за ними всеми было интересно наблюдать.Концовка получилась довольно необычной и смогла меня приятно удивить. Хотя роман и является одиночным, финал оставляет неслабый задел для продолжения, которое я бы с удовольствием прочитал.Итог: Издательством роман заявляется, как образчик темного фэнтези, с чем я согласен лишь отчасти. Книга совершенно не похожа на «Земной Круг» Джо Аберкромби, «Меекхан» Роберта Вегнера, «Малазан» Стивена Эриксона или прочих мастодонтов жанра. Открытия новой звезды гримдарка не состоялось. При всем при этом, «Мерзкая Семёрка» по-своему неплоха, если не ожидать от нее излишней серьезности. Из прочитанного ранее больше всего она напоминает мне «Королей Жути» Николаса Имса. Роман – старый добрый треш с реками крови и харизматичными героями. Прочитал не без удовольствия.",872
3,"3И все то вроде бы неплохо - и сюжет, и идея с пространствами как некое лимбо, и то, откуда эти пространства  берутся - просто для такого черствого и неромантичного сухаря, как я, здесь слишком много эмоций. Ну не верю я в такие томления, чтобы годами страдать по кому-то. Ладно, будем считать, что это тоже такое фантастическое допущение))Начинается все незатейливо, практически как самый обычный любовный роман - встречались мальчик и девочка, а потом появился еще один мальчик. Нет, треугольника не случилось - просто теперь девочка стала встречаться с новым мальчиком. Немножко странным, таким, готичным, все как полагается для страданий - внезапно появляется, исчезает, весь такой загадочный и страдающий чем-то неведомым.И как только вы настраиваетесь вроде бы на обычный какой-нибудь такой психологический сюжет, внезапно случается разворот - и вот вы уже в новом мире. Вроде в том, да не в том. То ли в жизни, то ли в смерти, то ли между. Мир этот немного обитаем - и кто-то даже умеет им немного управлять, но откуда и почему он взялся и что будет дальше? Жизнь в этом мире как будто лишена смысла - так, существование, и можно ли с этим что-то сделать - еще предстоит понять. Сильных эмоций он, правда, практически как я, не выносит - начинает рушиться и трещать по швам. Впрочем, мало кому удается притащить с собой эмоцию достаточной силы)В общем, задумка любопытная и реализация неплохая. Тема больше для романтиков, но читается легко, в нужных местах в напряжении держит, сюжет делает несколько хитрых зигзагов - в общем, знакомство вполне себе получилось.",236
